Iteration,CRT Time,FastExp Time
1,0.010023799999999916,0.0449534000000007
2,0.008803400000000572,0.04624369999999978
3,0.009867700000000035,0.047478600000000704
4,0.011373100000000136,0.04832829999999966
5,0.008729800000000232,0.04481150000000067
6,0.009372499999999562,0.04472759999999987
7,0.008742099999999198,0.04384340000000009
8,0.009396999999999878,0.0451163999999995
9,0.008623599999999954,0.0453834999999998
10,0.008604100000001225,0.044242399999999904
